,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
ADAM9,0.2695875503753518,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011243661839506956,,,0.011563469779813802
PDGFRB,0.26413898169926686,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010223896875172452,,,0.011563469779813802
SLC5A6,0.2637375315492083,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001427152373254706,,,0.011563469779813802
IGF1,0.25696474563822186,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00015526080278092572,,,0.011563469779813802
ENAH,0.256078766209548,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00014232562781351754,,,0.011563469779813802
MYO5B,0.25347633821972293,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012323092603851255,,,0.011563469779813802
IL7R,0.2483354784734119,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00016151544960858207,,,0.011563469779813802
CXCR4,0.24670579172921991,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00014717890805915698,,,0.011563469779813802
CD68,0.2394669124766062,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001481545158281584,,,0.011563469779813802
PTGDS,0.23586448733740312,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011494519557610229,,,0.011563469779813802
ADIPOQ,0.2356153901068113,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010327947019828136,,,0.011563469779813802
FASN,0.23445332062231256,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.740291018480063e-05,,,0.011563469779813802
PDGFRA,0.23096062900873035,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012045806754867628,,,0.011563469779813802
MYH11,0.2303485276806973,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012899144162912188,,,0.011563469779813802
RUNX1,0.22605042012868257,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011655282535078357,,,0.011563469779813802
VWF,0.22597301857384383,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012612013447596912,,,0.011563469779813802
PTPRC,0.21846869634117097,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012444945124439252,,,0.011563469779813802
LRRC15,0.21783821172349985,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011161712902699345,,,0.011563469779813802
DPT,0.21775746698046047,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.238640643837915e-05,,,0.011563469779813802
CCDC6,0.21264220433204675,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.432068322675973e-05,,,0.011563469779813802
SERHL2,0.21258879203858314,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.661486743837265e-05,,,0.011563469779813802
C15orf48,0.20989164387565692,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001860752936768873,,,0.011563469779813802
ZEB2,0.2057334678541971,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.948030648592456e-05,,,0.011563469779813802
TRAC,0.20203398128558608,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.218050759407547e-05,,,0.011563469779813802
CD3E,0.1928508856305314,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011611161113814435,,,0.011563469779813802
IL2RG,0.1892090080528325,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012517991384108015,,,0.011563469779813802
NARS,0.187804361303592,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012106845067106802,,,0.011563469779813802
CLCA2,0.18472579351461682,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0002194502547414344,,,0.011563469779813802
MDM2,0.1831235124808624,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001005138607823077,,,0.011563469779813802
WARS,0.18134585360617073,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.713694579581401e-05,,,0.011563469779813802
PDK4,0.17683513831500933,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.939493477681818e-05,,,0.011563469779813802
ZEB1,0.17609440322482015,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012757229231869126,,,0.011563469779813802
TFAP2A,0.17511146847291503,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010201903978436645,,,0.011563469779813802
CD93,0.17486838842446906,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00015827255507188667,,,0.011563469779813802
SMS,0.17370659820472095,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00013653670409548584,,,0.011563469779813802
PECAM1,0.1678567068194551,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011252068060974914,,,0.011563469779813802
ACTG2,0.16550184070107526,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001183819603772743,,,0.011563469779813802
SQLE,0.16199559932369345,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.398552230308971e-05,,,0.011563469779813802
CAV1,0.1615790532831201,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.536211352928405e-05,,,0.011563469779813802
TAC1,0.16150117229018718,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.932060184702986e-05,,,0.011563469779813802
SVIL,0.16107450224271133,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00013432050290054068,,,0.011563469779813802
ALDH1A3,0.16107331556278018,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011823951055884316,,,0.011563469779813802
KLF5,0.16037484243795896,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.325310161190616e-05,,,0.011563469779813802
C5orf46,0.15963746443829094,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010335724733760159,,,0.011563469779813802
CCL5,0.15919771515246955,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.023686526072431e-05,,,0.011563469779813802
TRAPPC3,0.15913159689481654,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.927084454523025e-05,,,0.011563469779813802
TRIB1,0.15840029102767086,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012957294810969272,,,0.011563469779813802
MRC1,0.1568706418630316,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001021521633237384,,,0.011563469779813802
DMKN,0.15663010797286878,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.239227109577653e-05,,,0.011563469779813802
EDN1,0.1556750196752906,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.610841328335935e-05,,,0.011563469779813802
CYTIP,0.1549686516598156,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00013447982296968636,,,0.011563469779813802
LYZ,0.15401693981708445,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010051552002357422,,,0.011563469779813802
MEDAG,0.1524760689289475,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001191302354294973,,,0.011563469779813802
EGFR,0.1508283640587451,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.634685850515522e-05,,,0.011563469779813802
TCF4,0.1503889674041754,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010994556660097353,,,0.011563469779813802
TOMM7,0.14992551669549933,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.977511625611129e-05,,,0.011563469779813802
CXCL16,0.14166210056672798,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010296111883786417,,,0.011563469779813802
C1QA,0.1410963715385969,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010380975421648611,,,0.011563469779813802
TUBB2B,0.14086564893473463,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.97006535429211e-05,,,0.011563469779813802
ESR1,0.13710745321375073,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011539332945272531,,,0.011563469779813802
CCR7,0.13477499436679907,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010563342911026979,,,0.011563469779813802
S100A4,0.13343866013419137,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.531074057627544e-05,,,0.011563469779813802
SDC4,0.13301528697568787,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001043937301065675,,,0.011563469779813802
FOXC2,0.13294889554318742,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.943550824772074e-05,,,0.011563469779813802
CCL8,0.13162338049623332,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.270967071527375e-05,,,0.011563469779813802
MMRN2,0.12916285173993494,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001059178952600868,,,0.011563469779813802
CD14,0.1265240691431853,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011200895434510128,,,0.011563469779813802
CAVIN2,0.1265050997065301,0.0,0.0001243050288964213,0.0,0.009900990099009901,5.3023083990933014e-05,,,0.011563469779813802
GPR183,0.1254981510908559,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012169164383779192,,,0.011563469779813802
ABCC11,0.12485527827646745,0.0,0.0001243050288964213,0.0,0.009900990099009901,5.1296442816493046e-05,,,0.011563469779813802
S100A8,0.12349734739010856,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.160626799097715e-05,,,0.011563469779813802
AIF1,0.12230008128288081,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010011285148448286,,,0.011563469779813802
HOXD9,0.12022027431255902,0.0,0.0001243050288964213,0.0,0.009900990099009901,5.449164433118218e-05,,,0.011563469779813802
PPARG,0.11721751330239451,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.577356200101277e-05,,,0.011563469779813802
AR,0.11668263380827372,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010625280098944336,,,0.011563469779813802
FAM107B,0.11643125607931493,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010514713663478603,,,0.011563469779813802
IL2RA,0.11595507434518385,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011808126006978923,,,0.011563469779813802
TCEAL7,0.11579729179100944,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.674796070246035e-05,,,0.011563469779813802
CD163,0.11433463681052437,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011027159635865322,,,0.011563469779813802
RAMP2,0.11376950586615132,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.11461808670193e-05,,,0.011563469779813802
BACE2,0.11302228128377383,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00011167508013110123,,,0.011563469779813802
AKR1C1,0.11242253729998543,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010043246817782771,,,0.011563469779813802
SELL,0.11162403428424388,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00012488651357503116,,,0.011563469779813802
MMP1,0.11151037941446611,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.363450114238273e-05,,,0.011563469779813802
KDR,0.10824185733529185,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.951672423921443e-05,,,0.011563469779813802
FGL2,0.10822809412119977,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.046094944589548e-05,,,0.011563469779813802
NOSTRIN,0.1081893624128019,0.0,0.0001243050288964213,0.0,0.009900990099009901,6.729731761454044e-05,,,0.011563469779813802
FCGR3A,0.1077617127287826,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.497129047961115e-05,,,0.011563469779813802
GZMB,0.10735305457181493,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.227627200305538e-05,,,0.011563469779813802
CLEC14A,0.1069784066541704,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010584412062767632,,,0.011563469779813802
CD83,0.1066196311073299,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.896423899788053e-05,,,0.011563469779813802
POLR2J3,0.10481776851911245,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.145779811926274e-05,,,0.011563469779813802
CD8A,0.1030096460814356,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.00010107578959035075,,,0.011563469779813802
CD3D,0.10293491573993116,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.220935583295852e-05,,,0.011563469779813802
ITM2C,0.10195031044366806,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.220319526223008e-05,,,0.011563469779813802
SH3YL1,0.10150874651247747,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001052466957893977,,,0.011563469779813802
CD3G,0.10054109245393122,0.0,0.0001243050288964213,0.0,0.009900990099009901,5.884618923444961e-05,,,0.011563469779813802
CD247,0.09849049370801181,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.211280240091885e-05,,,0.011563469779813802
LDHB,0.09769424536334463,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.095133607592937e-05,,,0.011563469779813802
TRAF4,0.09576612605915072,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.297344739664041e-05,,,0.011563469779813802
LIF,0.09388518283358997,0.0,0.0001243050288964213,0.0,0.009900990099009901,0.0001020827215952245,,,0.011563469779813802
C6orf132,0.09363334081286945,0.0,0.0001243050288964213,0.0,0.009900990099009901,7.478786094674375e-05,,,0.011563469779813802
USP53,0.09358339645658546,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.250691888731847e-05,,,0.011563469779813802
KLRB1,0.09354009431244174,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.295147529199914e-05,,,0.011563469779813802
ITGAX,0.09298166890983293,0.0,0.0001243050288964213,0.0,0.009900990099009901,9.238079595676768e-05,,,0.011563469779813802
FCER1G,0.09255816484966664,0.0,0.0001243050288964213,0.0,0.009900990099009901,8.99462282864425e-05,,,0.011563469779813802
ANKRD29,0.09196121353499696,1.1102230246251565e-16,0.0001243050288964213,0.0,0.009900990099009901,7.591847413693506e-05,,,0.011563469779813802
HOXD8,0.09050805062095081,2.220446049250313e-16,0.0001243050288964213,0.0,0.009900990099009901,8.499048706920373e-05,,,0.011563469779813802
CD69,0.09048159214923959,2.220446049250313e-16,0.0001243050288964213,0.0,0.009900990099009901,8.165757066803259e-05,,,0.011563469779813802
PCOLCE,0.09045759180095521,2.220446049250313e-16,0.0001243050288964213,0.0,0.009900990099009901,8.49440090604838e-05,,,0.011563469779813802
GZMA,0.09041126370797645,2.220446049250313e-16,0.0001243050288964213,0.0,0.009900990099009901,6.639746158611785e-05,,,0.011563469779813802
CD4,0.08978259540605346,3.3306690738754696e-16,0.0001243050288964213,1.2212453270876722e-15,0.009900990099009901,0.0001246191036513381,,,0.011563469779813802
TOP2A,0.08905514955376616,5.551115123125783e-16,0.0001243050288964213,0.0,0.009900990099009901,5.8203376442829855e-05,,,0.011563469779813802
SLAMF7,0.08697517347437968,2.3314683517128287e-15,0.0001243050288964213,0.0,0.009900990099009901,9.037688811456913e-05,,,0.011563469779813802
SERPINB9,0.0853353127506187,7.549516567451064e-15,0.0001243050288964213,0.0,0.009900990099009901,9.614513228365545e-05,,,0.011563469779813802
FSTL3,0.08358814563523252,2.531308496145357e-14,0.0001243050288964213,0.0,0.009900990099009901,8.045851004541044e-05,,,0.011563469779813802
FBLIM1,0.08259714760650587,4.984901380566953e-14,0.0001243050288964213,0.0,0.009900990099009901,8.717302314001288e-05,,,0.011563469779813802
QARS,0.08252323884355957,5.2513549064769904e-14,0.0001243050288964213,0.0,0.009900990099009901,8.059054180535388e-05,,,0.011563469779813802
DUSP5,0.08249720921315781,5.340172748447003e-14,0.0001243050288964213,0.0,0.009900990099009901,6.516396999548869e-05,,,0.011563469779813802
RORC,0.08053548361935796,1.9895196601282805e-13,0.0001243050288964213,0.0,0.009900990099009901,7.958384870396259e-05,,,0.011563469779813802
TMEM147,0.08052684463561971,2.0017321133991572e-13,0.0001243050288964213,0.0,0.009900990099009901,8.756474844278713e-05,,,0.011563469779813802
SLC25A37,0.07959075773200898,3.709255125272648e-13,0.0001243050288964213,7.249756350802272e-14,0.009900990099009901,0.0001140850893543336,,,0.011563469779813802
CEACAM8,0.07934168635608228,4.3653969328261155e-13,0.0001243050288964213,0.0,0.009900990099009901,7.08599796344035e-05,,,0.011563469779813802
ZNF562,0.0789808170132425,5.523359547510154e-13,0.0001243050288964213,3.3306690738754696e-16,0.009900990099009901,9.225160372480704e-05,,,0.011563469779813802
SLAMF1,0.07882890160818147,6.096234628216735e-13,0.0001243050288964213,0.0,0.009900990099009901,8.169024949747689e-05,,,0.011563469779813802
APOC1,0.07862620665435208,6.95221658020273e-13,0.0001243050288964213,0.0,0.009900990099009901,6.007435332870118e-05,,,0.011563469779813802
MNDA,0.07774704708846175,1.2249090630689352e-12,0.0001243050288964213,0.0,0.009900990099009901,6.449343700091734e-05,,,0.011563469779813802
TPSAB1,0.0766328426837224,2.4890089989071384e-12,0.0001243050288964213,0.0,0.009900990099009901,7.259144484273041e-05,,,0.011563469779813802
C1QC,0.07656055878781354,2.6052493495853923e-12,0.0001243050288964213,0.0,0.009900990099009901,7.800661872434177e-05,,,0.011563469779813802
