,C
CX3CR1,0.9536421708859587
SSTR2,0.9546152692838425
LARS,0.9548701710317471
CD79A,0.9552239667797746
HAVCR2,0.9563801101363401
THAP2,0.9564264888796151
RAPGEF3,0.9576520780074715
PRDM1,0.9585057545228092
SEC24A,0.9593241168302119
TIFA,0.9594615102701134
SRPK1,0.9594640285227598
KARS,0.9596391918613633
LGALSL,0.9603774017780451
IL3RA,0.9611668494788994
TCL1A,0.9614489019427734
NDUFA4L2,0.9614614286648847
LEP,0.962381968751935
CLECL1,0.9628882086458774
CSF3,0.9632673176090241
HOXD9,0.9644401474736404
CTLA4,0.9653192848323344
TYROBP,0.9656578118555103
ADGRE5,0.9663333931685829
CLEC9A,0.967196111968965
KLRC1,0.9679227436478324
PIM1,0.9682967245867617
CD8B,0.9693707455284013
MS4A1,0.970629312149834
RTKN2,0.9706879592208638
AKR1C3,0.9709372203839503
BTNL9,0.9709773641705665
ITGAM,0.9732663603179671
ANGPT2,0.9733968629790217
MMP12,0.976014461019327
ESM1,0.976370719360383
CD86,0.9771594572993421
ANKRD28,0.9793866097624547
FOXP3,0.9800775822214036
ERN1,0.9801364741900979
PLD4,0.9805100753739755
TUBA4A,0.9809614410097117
MKI67,0.9816800761130974
AQP3,0.9821909356723878
EGFL7,0.9822100974739241
DAPK3,0.9824174402457221
CD80,0.9831773222791806
HPX,0.9836642569426638
EIF4EBP1,0.9837036224976845
REXO4,0.9837675440356293
HMGA1,0.9849491482459967
RAB30,0.9849501542138177
SOX17,0.9856267365671744
PELI1,0.9872919739097903
NPM3,0.9875211959299596
APOC1,0.9890243534249453
PTRHD1,0.9895723543763424
TIGIT,0.9906650938246278
DERL3,0.9907236812499679
HDC,0.9908184800145059
AHSP,0.9909485203262381
DNTTIP1,0.9930713894670447
PDCD1LG2,0.9954961333443134
C2orf42,0.9956040153638835
OPRPN,0.99644707500304
LAG3,0.996943455582557
SOX18,0.9996302613630144
SCGB2A1,1.0013551389240094
SNAI1,1.0020250235144756
CTH,1.003265020250166
APOBEC3B,1.003592730391107
STC1,1.0044262053891053
OXTR,1.005469039448879
APOBEC3A,1.0054695649856173
TIMP4,1.0067493207715887
TCF15,1.0072660650281748
CD79B,1.0086210402885372
PCLAF,1.013339838576329
SPIB,1.0141688082296554
CCL20,1.0158662217869359
KLRF1,1.0180681070527162
LY86,1.0194657265046003
MYBPC1,1.0214007600995885
DNAAF1,1.022797497003311
SLC4A1,1.0264021016082154
UCP1,1.0290724920679173
CLIC6,1.034631316653821
CYP1A1,1.0356595645536986
GZMK,1.0364021594990476
MUC6,1.0408893919465945
PDCD1,1.0421229072558968
LILRA4,1.051527172547238
MPO,1.1927578033288153
CRHBP,
